DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
1119,114.5576853,21.53956059,17.775,0.01,16.503,0.016,16.09,0.01,15.966,0.012,15.929,0.009
1246,114.5577476,21.54840339,18.523,0.015,17.282,0.018,16.848,0.008,16.7,0.016,16.652,0.015
2123,114.5578204,21.63378559,17.792,0.019,16.737,0.019,16.248,0.012,16.116,0.03,16.203,0.014
2124,114.5578621,21.63403601,17.388,0.013,16.227,0.013,16.007,0.011,15.926,0.025,15.83,0.011
2942,114.5578677,21.7418863,19.042,0.022,17.907,0.009,17.539,0.008,17.434,0.01,17.399,0.024
404,114.557959,21.47743325,99.999,9.999,22.774,0.144,21.649,0.1,21.47,0.115,21.181,0.289
2310,114.5579885,21.6572471,99.999,9.999,22.61,0.151,21.367,0.06,20.042,0.034,19.256,0.051
828,114.5583559,21.52068453,17.601,0.01,16.496,0.011,16.154,0.013,16.052,0.006,16.036,0.012
941,114.5584412,21.52843249,21.527,0.134,19.407,0.015,18.611,0.017,18.32,0.017,18.172,0.027
885,114.5585932,21.5247516,99.999,9.999,22.107,0.09,20.623,0.04,19.955,0.031,19.557,0.064
352,114.5587284,21.47416087,99.999,9.999,21.917,0.065,20.544,0.035,19.822,0.028,19.404,0.063
2757,114.5588045,21.71685253,99.999,9.999,22.726,0.142,21.667,0.094,21.593,0.096,21.153,0.31
474,114.5590327,21.48549089,22.498,0.292,21.942,0.077,21.124,0.06,21.353,0.092,20.874,0.213
2097,114.5591452,21.63257552,99.999,9.999,22.197,0.104,21.412,0.049,21.266,0.074,21.37,0.281
1073,114.5592932,21.53840898,99.999,9.999,22.253,0.092,20.729,0.037,19.862,0.036,19.393,0.053
2063,114.5592972,21.62848798,21.403,0.104,20.308,0.026,19.947,0.026,19.83,0.027,19.882,0.078
1608,114.5594856,21.58085185,99.999,9.999,22.161,0.108,20.474,0.039,19.59,0.087,19.253,0.051
1367,114.5598693,21.55912158,99.999,9.999,23.027,0.196,21.255,0.057,20.141,0.033,19.556,0.052
1997,114.5600783,21.62164522,99.999,9.999,22.953,0.2,21.461,0.067,20.528,0.038,20.015,0.075
929,114.5601027,21.52876076,99.999,9.999,99.999,9.999,22.55,0.19,21.141,0.065,20.28,0.135
2236,114.5601229,21.64888072,22.327,0.235,20.123,0.02,19.03,0.016,18.635,0.021,18.389,0.03
1813,114.5601265,21.6000429,21.338,0.102,20.506,0.032,20.215,0.024,20.16,0.04,20.104,0.112
2461,114.5601505,21.67835757,99.999,9.999,99.999,9.999,99.999,9.999,21.752,0.104,20.805,0.177
1333,114.5605529,21.55768883,18.089,0.011,17.051,0.018,16.811,0.008,16.743,0.022,16.738,0.014
1175,114.5606025,21.54648001,99.999,9.999,22.97,0.211,21.624,0.077,20.632,0.046,20.036,0.1
448,114.5606254,21.4846589,99.999,9.999,22.117,0.089,20.875,0.044,20.255,0.038,19.907,0.108
40,114.5606649,21.44206036,21.379,0.115,19.612,0.015,18.942,0.016,18.706,0.019,18.562,0.041
1681,114.5608323,21.58882985,99.999,9.999,20.507,0.028,19.166,0.016,18.571,0.019,18.272,0.03
2771,114.5608886,21.72152253,19.693,0.031,17.929,0.009,17.224,0.006,16.945,0.009,16.808,0.017
1843,114.5608988,21.60400747,20.726,0.062,18.805,0.013,18.066,0.01,17.83,0.023,17.728,0.02
2968,114.5609007,21.74795409,99.999,9.999,22.792,0.134,21.581,0.077,21.214,0.061,20.743,0.195
