DAOPHOTID,RA,DEC,u,uError,g,gError,r,rError,i,iError,z,zError
4451,290.3666313,37.83836993,99.999,9.999,23.555,0.281,22.006,0.119,20.598,0.055,19.669,0.114
5728,290.3666414,37.86900425,99.999,9.999,22.12,0.1,20.598,0.031,19.401,0.027,18.726,0.053
7225,290.3667153,37.90924072,99.999,9.999,21.683,0.062,20.331,0.028,19.836,0.028,19.626,0.123
3403,290.3668219,37.81564936,18.967,0.023,16.653,0.005,15.661,0.008,15.353,0.009,15.18,0.021
700,290.3668327,37.763739,99.999,9.999,20.862,0.029,19.663,0.015,19.28,0.019,19.047,0.063
3128,290.3668627,37.81004385,99.999,9.999,21.335,0.048,19.689,0.02,18.854,0.018,18.398,0.044
9396,290.3669203,37.97277513,21.698,0.213,19.833,0.021,19.181,0.014,18.928,0.016,18.807,0.051
10107,290.3670021,37.99381827,99.999,9.999,99.999,9.999,21.902,0.121,21.009,0.085,20.09,0.17
1313,290.3670689,37.77438095,99.999,9.999,20.386,0.039,19.491,0.038,18.876,0.031,19.053,0.078
1327,290.3670732,37.77465458,20.129,0.045,18.099,0.006,17.24,0.006,16.979,0.011,16.781,0.016
2165,290.367094,37.78958913,21.746,0.206,20.009,0.021,19.069,0.018,18.846,0.015,18.706,0.051
6298,290.3671075,37.88414671,99.999,9.999,22.754,0.153,21.143,0.058,20.509,0.051,20.114,0.168
5171,290.3671088,37.85537332,99.999,9.999,21.209,0.041,19.98,0.024,19.564,0.021,19.376,0.096
4096,290.3671733,37.83039229,99.999,9.999,21.807,0.076,20.271,0.03,19.654,0.03,19.424,0.094
8460,290.3671753,37.94455557,99.999,9.999,22.397,0.108,21.6,0.073,21.161,0.073,20.796,0.314
4002,290.367206,37.82839623,20.438,0.056,18.947,0.01,18.324,0.011,18.121,0.015,18.114,0.03
2151,290.3672436,37.7892705,20.716,0.082,19.293,0.011,18.808,0.016,18.628,0.015,18.509,0.043
2292,290.367263,37.79217478,20.019,0.05,18.24,0.007,17.551,0.009,17.36,0.009,17.266,0.016
8241,290.3673746,37.93801018,20.268,0.054,18.875,0.015,18.291,0.013,18.054,0.018,17.946,0.027
3746,290.3674508,37.82232297,99.999,9.999,22.836,0.159,21.562,0.062,20.721,0.064,20.368,0.192
7694,290.3674804,37.92278099,99.999,9.999,22.221,0.089,21.325,0.074,21.1,0.103,99.999,9.999
3863,290.3675444,37.82498156,99.999,9.999,21.121,0.043,19.978,0.019,19.548,0.025,19.38,0.106
102,290.3675487,37.75409972,19.364,0.024,18.174,0.008,17.622,0.012,17.421,0.01,17.365,0.019
2454,290.3676448,37.79570628,16.434,0.007,15.09,0.005,14.568,0.009,14.414,0.007,14.352,0.013
4252,290.3676515,37.83388828,99.999,9.999,21.268,0.047,20.035,0.023,19.551,0.023,19.512,0.108
